node_id,type,name,source,label
DB00313,drug,Valproic acid,DrugBank,Drug
DB00316,drug,Acetaminophen,DrugBank,Drug
DB00317,drug,Gefitinib,DrugBank,Drug
DB00321,drug,Amitriptyline,DrugBank,Drug
DB00327,drug,Hydromorphone,DrugBank,Drug
DB00328,drug,Indomethacin,DrugBank,Drug
DB00332,drug,Ipratropium,DrugBank,Drug
DB00333,drug,Methadone,DrugBank,Drug
DB00334,drug,Olanzapine,DrugBank,Drug
DB00335,drug,Atenolol,DrugBank,Drug
DB00343,drug,Diltiazem,DrugBank,Drug
DB00404,drug,Alprazolam,DrugBank,Drug
DB00412,drug,Rosiglitazone,DrugBank,Drug
DB00414,drug,Acetohexamide,DrugBank,Drug
DB00415,drug,Ampicillin,DrugBank,Drug
DB00421,drug,Spironolactone,DrugBank,Drug
DB00430,drug,Cefpiramide,DrugBank,Drug
DB00432,drug,Trifluridine,DrugBank,Drug
DB00454,drug,Meperidine,DrugBank,Drug
DB00456,drug,Cefalotin,DrugBank,Drug
DB00458,drug,Imipramine,DrugBank,Drug
DB00459,drug,Acitretin,DrugBank,Drug
DB00461,drug,Nabumetone,DrugBank,Drug
DB00472,drug,Fluoxetine,DrugBank,Drug
DB00476,drug,Duloxetine,DrugBank,Drug
DB00477,drug,Chlorpromazine,DrugBank,Drug
DB00481,drug,Raloxifene,DrugBank,Drug
DB00490,drug,Buspirone,DrugBank,Drug
DB00495,drug,Zidovudine,DrugBank,Drug
DB00497,drug,Oxycodone,DrugBank,Drug
DB00500,drug,Tolmetin,DrugBank,Drug
DB00503,drug,Ritonavir,DrugBank,Drug
DB00512,drug,Vancomycin,DrugBank,Drug
DB00515,drug,Cisplatin,DrugBank,Drug
DB00530,drug,Erlotinib,DrugBank,Drug
DB00537,drug,Ciprofloxacin,DrugBank,Drug
DB00540,drug,Nortriptyline,DrugBank,Drug
DB00544,drug,Fluorouracil,DrugBank,Drug
DB00554,drug,Piroxicam,DrugBank,Drug
DB00555,drug,Lamotrigine,DrugBank,Drug
DB00557,drug,Hydroxyzine,DrugBank,Drug
DB00563,drug,Methotrexate,DrugBank,Drug
DB00567,drug,Cephalexin,DrugBank,Drug
DB00571,drug,Propranolol,DrugBank,Drug
DB00573,drug,Fenoprofen,DrugBank,Drug
DB00575,drug,Clonidine,DrugBank,Drug
DB00576,drug,Sulfamethizole,DrugBank,Drug
DB00584,drug,Enalapril,DrugBank,Drug
DB00595,drug,Oxytetracycline,DrugBank,Drug
DB00598,drug,Labetalol,DrugBank,Drug
DB00603,drug,Medroxyprogesterone acetate,DrugBank,Drug
DB00605,drug,Sulindac,DrugBank,Drug
DB00607,drug,Nafcillin,DrugBank,Drug
DB00608,drug,Chloroquine,DrugBank,Drug
DB00619,drug,Imatinib,DrugBank,Drug
DB00624,drug,Testosterone,DrugBank,Drug
DB00625,drug,Efavirenz,DrugBank,Drug
DB00649,drug,Stavudine,DrugBank,Drug
DB00655,drug,Estrone,DrugBank,Drug
DB00661,drug,Verapamil,DrugBank,Drug
DB00675,drug,Tamoxifen,DrugBank,Drug
DB00677,drug,Isoflurophate,DrugBank,Drug
DB00678,drug,Losartan,DrugBank,Drug
DB00682,drug,Warfarin,DrugBank,Drug
DB00695,drug,Furosemide,DrugBank,Drug
